Time mass_flow_rate velocity
0. 0. 0.
2.3802163833075733e-06 0.0 0.0
4.7604327666151465e-06 0.20741373891303663 5286.148737547935
7.14064914992272e-06 1.3517509931942768 34450.740069581625
9.520865533230293e-06 1.6914049190620373 43107.16360660611
1.1901081916537867e-05 1.7414476620941062 44382.553483326476
1.428129829984544e-05 1.7860185346157105 45518.48721050485
1.6661514683153012e-05 1.8287986131520717 46608.780743287665
1.9041731066460586e-05 1.8695889205937184 47648.3629489643
2.142194744976816e-05 1.9084889454953862 48639.76939389006
2.3802163833075734e-05 1.9454986878570755 49583.00007806497
2.6182380216383308e-05 1.9806181476787859 50478.055001488996
2.856259659969088e-05 2.0137478364057815 51322.39859780684
3.0942812982998456e-05 2.045086731147535 52121.10199972915
3.3323029366306024e-05 2.0744358547945736 52869.094074545275
3.57032457496136e-05 2.1019941844563688 53571.44595496583
3.808346213292117e-05 2.1277617201329213 54228.15764099082
4.0463678516228746e-05 2.1517384618242303 54839.229132620254
4.284389489953632e-05 2.1739244095302968 55404.66042985413
4.522411128284389e-05 2.19431956325112 55924.45153269246
4.760432766615147e-05 2.213122900096172 56403.67357384583
4.9984544049459036e-05 2.2303344200654522 56842.32655331426
5.2364760432766617e-05 2.245854634604225 57237.87490474246
5.474497681607419e-05 2.2599820093766976 57597.925327196295
5.712519319938176e-05 2.272617055828135 57919.942254320544
5.950540958268933e-05 2.283859262513271 58206.461252470435
6.188562596599691e-05 2.293708629432108 58457.482321646
6.426584234930448e-05 2.302364133694116 58678.07659455789
6.664605873261205e-05 2.309825775299295 58868.24407120604
6.902627511591963e-05 2.3160935542476464 59027.98475159052
7.14064914992272e-05 2.3213664476486393 59162.369768421886
7.378670788253476e-05 2.325743944057011 59273.934688055466
7.616692426584234e-05 2.329126554918026 59360.143944135976
7.854714064914992e-05 2.3317132573411548 59426.06866937401
8.092735703245749e-05 2.3335040513263974 59471.70886376955
8.330757341576506e-05 2.3345984254284904 59499.60009367795
8.568778979907264e-05 2.335095868202169 59512.27792545451
8.806800618238021e-05 2.335095868202169 59512.27792545451
9.044822256568778e-05 2.3344989368737545 59497.064527322655
9.282843894899536e-05 2.3335040513263974 59471.70886376955
9.520865533230294e-05 2.3321112115600977 59436.210934795236
9.75888717156105e-05 2.33041990612959 59393.106306754984
9.996908809891807e-05 2.3285296235896116 59344.93054600413
0.00010234930448222567 2.326340875385425 59289.14808618732
0.00010472952086553323 2.3240526386265037 59230.830060015214
0.00010710973724884079 2.3215654247581106 59167.44090113249
0.00010948995363214838 2.3190782108897174 59104.05174224977
0.00011187017001545595 2.3164915084665885 59038.12701701174
0.00011425038639876352 2.31390480604346 58972.20229177371
0.0001166306027820711 2.311318103620331 58906.27756653569
0.00011901081916537866 2.3088308897519383 58842.88840765297
0.00012139103554868623 2.306343675883545 58779.49924877024
0.00012377125193199383 2.3039559505698874 58718.64565624282
0.00012615146831530138 2.301667713810966 58660.32763007072
0.00012853168469860896 2.29947896560678 58604.54517025393
0.00013091190108191654 2.29738970595733 58551.29827679244
0.0001332921174652241 2.2954994234173514 58503.122516041585
0.00013567233384853168 2.293808117986844 58460.01788800133
0.00013805255023183926 2.2922163011110723 58419.44882631639
0.0001404327666151468 2.290723972790037 58381.41533098676
0.0001428129829984544 2.289430621578472 58348.45296836773
0.00014519319938176197 2.288336247476379 58320.561738459335
0.00014757341576506953 2.2874408504837573 58297.74164126155
0.00014995363214837713 2.2867444306006077 58279.992676774404
0.0001523338485316847 2.286147499272193 58264.77927864254
0.00015471406491499227 2.28574954505325 58254.637013221305
0.00015709428129829985 2.285550567943779 58249.56588051068
0.0001594744976816074 2.285451079389043 58247.03031415538
0.00016185471406491498 2.2856500564985147 58252.10144686601
0.00016423493044822257 2.2859485221627214 58259.708145931916
0.00016661514683153012 2.2863464763816643 58269.85041135315
0.0001689953632148377 2.286943407710079 58285.06380948501
0.00017137557959814528 2.287739316147965 58305.34834032749
0.00017375579598145283 2.288634713140586 58328.168437525266
0.00017613601236476042 2.289729087242679 58356.059667433656
0.000178516228748068 2.290922949899508 58386.48646369737
0.00018089644513137555 2.292315789665808 58421.984392671686
0.00018327666151468316 2.293708629432108 58457.482321646
0.0001856568778979907 2.2953004463078797 58498.05138333096
0.0001880370942812983 2.2969917517383873 58541.15601137121
0.00019041731066460587 2.29878254572363 58586.79620576677
0.00019279752704791345 2.300672828263609 58634.97196651764
0.000195177743431221 2.3025631108035873 58683.1477272685
0.0001975579598145286 2.3045528818983017 58733.85905437468
0.00019993817619783614 2.306642141547752 58787.105947836164
0.00020231839258114372 2.3086319126424666 58837.81727494235
0.00020469860896445133 2.3107211722919168 58891.06416840383
0.00020707882534775889 2.312810431941367 58944.311061865315
0.00020945904173106647 2.314899691590817 58997.5579553268
0.00021183925811437402 2.316889462685532 59048.26928243298
0.00021421947449768157 2.318779745225511 59096.44504318385
0.00021659969088098915 2.320670027765489 59144.62080393471
0.00021897990726429676 2.3224608217507323 59190.26099833028
0.00022136012364760432 2.3241521271812395 59233.36562637053
0.0002237403400309119 2.325743944057011 59273.934688055466
0.00022612055641421945 2.3271367838233115 59309.4326170298
0.00022850077279752703 2.32833064648014 59339.859413293496
0.00023088098918083464 2.329425020582233 59367.75064320189
0.0002332612055641422 2.330320417574854 59390.57074039968
0.00023564142194744975 2.3310168374580043 59408.319704886846
0.00023802163833075733 2.331514280231683 59420.99753666339
0.00024040185471406488 2.33181274589589 59428.60423572931
0.00024278207109737246 2.33181274589589 59428.60423572931
0.00024516228748068004 2.331613768786419 59423.53310301869
