Z T N2 S-CH2 T-CH2 O H2 H OH H2O O2 HO2 CH CO HCO CH2O CH3 CO2 CH4 C2H3 C2H4 C2H5 C2H HCCO C2H2 C3H3 A-C3H5 N-C3H7 C2H6 P-C3H4 A-C3H4 A1 A1- C5H5 C3H6 C4H8 C5H6 A2 C5H10 C5H11 A1C2H2 A1CH2 A1CHO A1CH3 C7H15 N-C7H16 A1C2H* A2- A1C2H
0.1 2119.2919680882474 0.6903002563739593 9.670988528087182e-10 1.7597982638243684e-08 6.908180435074677e-08 0.005651146622845364 9.454999999155895e-06 3.333393829729539e-05 0.07763557781135048 5.621398402455783e-06 1.5222548059594367e-11 1.4419878590288857e-10 0.1526023190371728 1.0981882912959948e-08 1.0751671123123986e-07 4.41543941587905e-06 0.07365126000156014 7.254276026441777e-05 2.2017640095452187e-07 1.3210718730855178e-09 1.7719163221454043e-09 3.095761748176215e-09 5.623438471991338e-09 3.34355286615104e-05 1.8271255202611087e-07 3.730163982664962e-10 -1.0625519305068981e-29 1.8265002205300953e-13 1.0581472520486558e-08 3.979891623243069e-09 1.0590471640200328e-12 6.114279549410898e-13 1.3871852939537672e-14 1.4574676052635416e-10 1.1639189144498727e-177 7.757184448722857e-15 6.258562506580072e-20 -5.905139592863889e-188 -3.8242667415701176e-192 3.754861768788825e-20 2.967510632336121e-16 1.7955405740393293e-21 2.9222101201660113e-16 2.0007510442135238e-210 2.9920848787496337e-208 2.1613191922805666e-16 6.326865314576133e-22 2.6010060464934432e-14
0.11 2011.1779672631271 0.6826302535253637 1.2600252163561805e-09 2.5588403389990172e-08 3.187742431271687e-08 0.008078525986861849 1.0442083657506101e-05 1.8955469422424188e-05 0.06850728154656688 5.826974885682146e-06 2.1596664242708468e-11 1.8353027825086403e-10 0.18183340863575492 1.7520280098046754e-08 1.2499981582266747e-07 8.670702892716675e-06 0.05865102907096715 0.00018085621193163063 2.1873548041071606e-07 2.7560475145717822e-09 5.170851376301801e-09 3.6731210940286847e-09 4.516079494797608e-09 7.389842638622727e-05 3.465767450988281e-07 1.0641770711277488e-09 1.0802294334514873e-28 1.0152070568000153e-12 4.778269153259344e-08 1.8760186902485402e-08 1.9550247651257242e-11 4.20950021533315e-12 1.4274216164275555e-13 8.534467088305477e-10 1.1523517867627834e-172 7.761279830880719e-14 7.483499200168168e-18 -1.57217755554016e-179 -2.008723656501277e-185 9.156790924590746e-19 1.1091703900511159e-14 8.930363505163652e-20 1.4507794846795483e-14 7.206244572662475e-200 1.6576223091411774e-195 1.627432020150904e-15 3.14893789771036e-20 3.8456505456125223e-13
0.12 1909.2471100617292 0.6749602506767646 1.5539867111524474e-09 3.5397165030325876e-08 1.287989656484168e-08 0.010580272822221844 9.846393982622866e-06 9.576058898983092e-06 0.05818582453680032 7.186876107463104e-06 3.811097297795216e-11 2.0059328824961146e-10 0.20813341364541307 2.3340790222458062e-08 1.548582572726033e-07 1.7621587465456638e-05 0.04740274359009568 0.0005027449560831526 2.5142697725907806e-07 6.4336846062508784e-09 1.8838259871132986e-08 4.65343342318905e-09 4.1991567455978536e-09 0.00018879732597791994 8.459086161912126e-07 3.952287893928678e-09 -4.443427224135925e-28 6.693845268239445e-12 2.502039946111577e-07 1.0098690918195801e-07 5.812628579010071e-10 6.354875605736772e-11 2.3117737013616428e-12 5.9828405281094296e-09 -1.177313115283097e-156 1.7179647130680414e-12 3.0079596375787703e-15 -2.7871462703098454e-165 -7.584650754518624e-170 5.816484314862812e-17 9.17504614598673e-13 9.032802250034272e-18 1.7490564077059055e-12 -1.0080027583867812e-186 -3.7415816924970195e-183 3.903473141862883e-14 6.1639154673905996e-18 1.6985820836175845e-11
0.13 1821.216738075717 0.6672902478281613 1.6307156637958463e-09 4.129736749817486e-08 4.233711689099949e-09 0.012735170808273454 6.765588779052012e-06 3.778929768003174e-06 0.0483105763759185 1.204103831780818e-05 9.595255563103776e-11 1.4176274333254568e-10 0.229846820215041 2.1887647624584976e-08 2.1170246287986165e-07 3.837369084603893e-05 0.039203170366969645 0.0018978454589074563 3.612279889019951e-07 1.6374507031279578e-08 1.0941163199082072e-07 6.393410412215485e-09 5.4059842574660955e-09 0.0006465764114448229 4.400561626469331e-06 2.1989231533133492e-08 1.3879216595841467e-31 6.484507972516587e-11 2.354389500785955e-06 9.427705082357475e-07 6.770343861891669e-08 4.43725608215234e-09 1.1124546998142157e-10 5.364682648085121e-08 1.0856864880823861e-193 1.2278140385891535e-10 1.2886804260919408e-11 -2.0699979634120206e-200 -6.250306500391534e-205 2.2505605720493006e-14 3.497852492219606e-10 3.254904675623596e-15 9.393018218461963e-10 2.8633308050696197e-220 -2.1806464299192026e-215 7.074598447276375e-12 1.2049708935854416e-14 6.378083003675883e-09
0.14 1759.9892045277395 0.6596202449795617 1.2280709886671384e-09 3.358072340145718e-08 2.1079506089843024e-09 0.013875879994815274 3.881036301596518e-06 1.4761369282903973e-06 0.04118758938448148 2.2828990452785274e-05 2.630125962553317e-10 6.112024179628531e-11 0.24283979064992817 1.565314186108257e-08 2.5960256004073306e-07 6.197521389742094e-05 0.03447987852457188 0.005790210009730588 4.622406094085732e-07 3.335209235033218e-08 4.376352472729777e-07 8.21723193330722e-09 1.0527730974424975e-08 0.0020579689641117274 2.3462117123751388e-05 8.326155078207888e-08 7.036300256390363e-32 3.607837598350902e-10 1.8425704305733103e-05 7.189971781018653e-06 5.23383929662694e-06 2.1798201662770835e-07 5.11225632598295e-09 2.637329199863633e-07 1.8198959596002597e-219 6.0943672827478954e-09 3.0033727001409534e-08 -6.362891367673006e-226 -1.0532093488910202e-230 5.0866340417217404e-12 5.8333988325703955e-08 6.017124098390014e-13 1.8955718771482693e-07 3.4269301612090876e-250 -8.106340199662178e-246 9.823774535002204e-10 1.3250970852351856e-11 1.844543105703962e-06
0.15 1685.1717587522633 0.6519502421309622 2.585986754482614e-10 8.304919418962877e-09 1.4406330769474451e-09 0.015122100029257995 1.819669598550114e-06 4.616109841922555e-07 0.03600232657233216 4.944011784379819e-05 9.343598798093977e-10 6.791771038804026e-12 0.2510749363967655 9.310386647265262e-09 1.6372121713832046e-07 3.363622264756486e-05 0.03110412439546415 0.0072728275398463065 7.146214066107341e-07 6.148181945485377e-08 2.3290630456346397e-07 8.460323085584773e-09 4.271927021392361e-08 0.006986545424781378 4.5456161196080674e-05 1.6648553945364448e-07 -4.754183822181642e-34 2.9523907454388906e-10 6.160150753214594e-05 2.3447055886054286e-05 8.448072832876425e-05 2.323253040402585e-06 8.34839639533494e-08 7.082811451899932e-07 -4.971459490726569e-221 1.0406426270846996e-07 2.3123866072105446e-05 1.5477898268192582e-224 -5.876353455590371e-229 3.010641178412155e-10 8.932809553480805e-07 1.8208616430427674e-11 3.714861166070198e-06 -1.976458467478764e-249 2.0257422327111512e-244 3.102839038609824e-08 3.9333699327361955e-09 0.00015415711812551301
0.16 1610.3568710652469 0.6442802392823627 5.198049519672337e-11 2.4491212716979797e-09 1.1285383296911468e-09 0.01623910288503023 8.586006354692434e-07 1.557788379271468e-07 0.033801956012265474 8.425771890629077e-05 3.772205328847488e-09 9.368172543896464e-13 0.251956233503628 5.746183295687176e-09 2.7798429520228954e-07 1.3689550644848861e-05 0.02984721622903182 0.0067245104083497416 1.4067373879895678e-06 1.525223870153534e-07 6.855140207103714e-08 5.07813210087664e-09 1.189268404766633e-07 0.013987903964799419 3.67524564427077e-05 2.693383951438886e-07 -7.404140779898166e-29 1.4229218557931534e-10 9.22317911102068e-05 3.460949943639157e-05 0.00023741253149032421 4.279679542647119e-06 3.2130077957562836e-07 1.8159263418214085e-06 -1.3614587598403494e-245 5.071032417690717e-07 0.0013237729154959561 8.936375226328435e-254 3.9119407449464693e-258 1.9132290177823075e-09 1.890813826328264e-06 9.786234952716381e-11 1.030119057816042e-05 -1.994179702170498e-270 1.7585522748715143e-266 1.0002125835369359e-07 8.22445024918975e-08 0.0013174841502721008
0.17 1569.0983348973145 0.6366102364337629 2.973885680208342e-11 1.8435692362419698e-09 1.011749385381453e-09 0.016849539518506394 5.835268350554255e-07 8.979313585949482e-08 0.03346774913798023 0.00010077572635170164 7.050641999774723e-09 4.73368358837505e-13 0.2487220298413751 4.66022884992601e-09 5.631832873240308e-07 9.912474275239185e-06 0.029568737542718174 0.007435776464498833 1.8495087638443626e-06 2.7741376167293743e-07 4.769204241455298e-08 3.278605218019729e-09 1.6078660102005534e-07 0.01729673939693646 3.113021994635257e-05 3.786699767034215e-07 3.167735310570935e-19 1.332681767668676e-10 0.00011234935250085631 4.194996275475292e-05 0.00033796899961041957 4.492070117187753e-06 5.892360743048495e-07 3.3369396663264307e-06 -3.398441763819228e-176 1.1491218304800031e-06 0.006726862510167132 4.177118875100452e-186 4.533641164581189e-192 3.440382845099198e-09 2.637397114728938e-06 2.4907804426727546e-10 1.6678388770147458e-05 -3.492990020728634e-214 -1.1163926967431233e-209 1.2015575780116947e-07 2.438843613928146e-07 0.002655022952783072
0.18 1543.6406948960052 0.6289402335851636 2.2790126193218888e-11 1.6500498455499435e-09 9.5970180848565e-10 0.017303774584915495 4.6362213191228844e-07 6.526042605322875e-08 0.03389649339203662 0.00010906289439806714 9.914574032058453e-09 3.310265429355961e-13 0.24403948137145776 4.175458657428674e-09 8.80753845193935e-07 8.721341275481768e-06 0.029507416221491563 0.008461608322859906 2.129549804313483e-06 4.188387870135025e-07 4.346198292140782e-08 2.3528316364096894e-09 1.790452362965187e-07 0.018567326279492175 2.7971689609153402e-05 4.876009584810052e-07 -1.9766413128833215e-34 1.4736412803255592e-10 0.00012740388775939765 4.747574025797046e-05 0.00040399886871600595 4.3250449587459674e-06 8.221212421837777e-07 5.086782928452979e-06 -7.334639113520823e-78 1.8654674174069231e-06 0.014940018909967356 -4.994945858932027e-80 -2.4069507725297838e-86 4.395078461518161e-09 3.2927696411744523e-06 4.694346406584181e-10 2.276028370109256e-05 1.7716728607453916e-89 1.2352551807506365e-84 1.1756862615092655e-07 3.8901397015905417e-07 0.003575661637327794
0.19 1524.4010909403519 0.6212702307365641 1.8991921013034387e-11 1.531356525701528e-09 9.291052611869967e-10 0.01770791768471933 3.90250724345675e-07 5.1586546795042235e-08 0.03452324214506739 0.00011410796783443253 1.2620676708236845e-08 2.537378376817362e-13 0.23907500193638512 3.878643207351905e-09 1.2270550140783374e-06 8.169709194998472e-06 0.029430153830960478 0.009643552936005684 2.348975112533712e-06 5.851879643115961e-07 4.300036628793541e-08 1.7683751842125501e-09 1.8797307369047094e-07 0.019008996099176435 2.5705841095242247e-05 6.025071554340469e-07 -4.102087307465123e-33 1.6996447057023488e-10 0.00014022258348480422 5.220981018138884e-05 0.000455756058653181 4.075949984953795e-06 1.0319266273213507e-06 7.158361519218082e-06 -2.086159797820891e-67 2.641026741612765e-06 0.024280691792387576 -2.2455360518919002e-36 -1.3585392003207407e-42 5.005431845286448e-09 3.914455076157214e-06 7.786538530435217e-10 2.8893831413557395e-05 2.0663894960711954e-73 2.867764959305362e-68 1.082258118909826e-07 4.909192719506014e-07 0.004210262934433122
