Z T N2 S-CH2 T-CH2 O H2 H OH H2O O2 HO2 CH CO HCO CH2O CH3 CO2 CH4 C2H3 C2H4 C2H5 C2H HCCO C2H2 C3H3 A-C3H5 N-C3H7 C2H6 P-C3H4 A-C3H4 A1 A1- C5H5 C3H6 C4H8 C5H6 A2 C5H10 C5H11 A1C2H2 A1CH2 A1CHO A1CH3 C7H15 N-C7H16 A1C2H* A2- A1C2H
0.01 745.6404240470875 0.7593302820113321 6.623963035843628e-73 5.6197288826761324e-70 1.1792547001066474e-15 1.190994566343897e-17 1.1735062760476094e-22 5.050559842167077e-11 0.012843088302404063 0.19645213758288085 1.8271358071252557e-12 1.4993284802317482e-73 2.610842676973586e-17 5.32889665305653e-38 3.276859779894128e-39 3.312372996277136e-64 0.031374492051049155 1.2862456721303302e-60 1.411500491333761e-101 1.7202467082676322e-96 4.6985026155374485e-111 2.136960837586671e-98 5.096478100637414e-75 8.811033069853488e-87 7.286372457384318e-132 1.8645445020320817e-142 3.972429545786009e-159 2.9947811714734785e-109 5.784995075037822e-133 1.344964794046765e-133 4.137894224252695e-234 1.3207550102294247e-239 1.978185049597363e-206 2.9382070024191313e-143 2.5759435050101703e-191 1.4619994938983057e-208 0.0 1.957317089893812e-239 2.0869475664749286e-255 0.0 0.0 1.0518773122753092e-256 0.0 0.0 0.0 0.0 0.0 0.0
0.011 787.3948891066241 0.7585632817262727 7.566205723227775e-69 4.6836322303854743e-66 1.0065928060096266e-14 1.0860638469452774e-16 2.344054340053203e-21 2.077177082883846e-10 0.014127397051015381 0.19279737975290956 5.887312854724703e-12 2.446563733629073e-69 3.272127592930686e-16 7.277079184847254e-36 3.596117308285822e-37 9.910999797022693e-61 0.034511941256186666 1.6691453131107965e-57 5.0565867622072e-96 2.1659694199058467e-91 3.0821556319101525e-105 8.764515949099767e-93 7.352341103054409e-71 5.926553081323836e-82 1.228472941088987e-124 6.15084897292831e-135 6.407745931737822e-151 1.0174335294095164e-103 7.57243934483975e-126 1.8463215429314562e-126 6.704480243625721e-222 6.577288292714113e-227 1.5590864501294272e-195 8.018900617447903e-136 1.6901987262613184e-181 1.137048445856069e-197 0.0 3.0917686165341957e-227 1.9268758508546973e-242 0.0 0.0 2.014149942161199e-243 0.0 0.0 0.0 0.0 0.0 0.0
0.012 828.6178137215561 0.7577962814411902 3.0737280879242595e-65 1.4383829926791997e-62 6.764199858513721e-14 7.78570215373657e-16 3.3686540586662034e-20 7.304903487035799e-10 0.015411705604186816 0.18914262174609064 1.6638519580267944e-11 1.3623341504631553e-65 3.101261493435101e-15 5.770775927863752e-34 2.3524959348006492e-35 1.2275851685247743e-57 0.03764939046133194 9.857077765524887e-55 4.4187582782709085e-91 7.489711319474728e-87 4.628309195224516e-100 8.604749812705707e-88 3.683580835988829e-67 1.1705597631378883e-77 3.308714088256025e-118 3.021955964175028e-128 1.2936846919084825e-143 8.533170822605953e-99 1.6310707632609017e-119 4.149852596461619e-120 4.933268994068317e-211 1.3095423308627755e-215 7.750365790391044e-186 3.3317879093193835e-129 9.25206934859143e-173 5.6086981433627586e-188 0.0 2.2326255986907852e-216 6.695986481699018e-231 0.0 9.272821674739899e-253 1.337380573240021e-231 2.751052693527341e-253 0.0 0.0 0.0 0.0 0.0
0.013000000000000001 869.3250316420842 0.757029281155948 5.237412741156511e-62 1.9087371048182357e-59 3.717008568826456e-13 4.558567488448496e-15 3.6699540959077627e-19 2.251937313580964e-09 0.016696013624398195 0.18548786325871175 4.211423460652282e-11 3.0728436434848095e-62 2.3241893264418328e-14 2.8983391683953667e-32 9.964928410790797e-34 7.245806263177344e-55 0.04078683966649097 3.0045931078502567e-52 1.1798237539563895e-86 8.743471406422722e-83 2.0135406508573636e-95 2.5402417649401922e-83 7.586898727696271e-64 8.254576134542572e-74 1.9075619886938347e-112 2.996853042691692e-122 4.556145342775527e-137 2.2095364114485102e-94 7.711538317987927e-114 2.038698471375255e-114 2.7010704018051627e-201 1.742864310756007e-205 3.778553649404226e-177 2.8468902283510013e-123 6.283188667286178e-165 2.7256052818383484e-179 0.0 1.206560203234329e-206 1.478846019807394e-220 0.0 4.6615833091924203e-241 5.26689479737821e-221 1.095685424501492e-241 0.0 0.0 0.0 0.0 0.0
0.014 909.5383253005504 0.7562622808707682 4.273876090053647e-59 1.2439319006795337e-56 1.7221170083691592e-12 2.2479578849595385e-14 3.1611922500663484e-18 6.208409065491404e-09 0.017980320346756833 0.18183310360360566 9.708235222103221e-11 3.2225803838377303e-59 1.427557524141917e-13 9.885145542838579e-31 2.920952308109809e-32 2.2822453659976075e-52 0.043924288871490254 5.230394223760693e-50 1.1535042007305023e-82 4.0676519426980286e-79 3.0666118203932227e-91 2.708794074761218e-79 7.357008222199475e-61 2.4319284797216665e-70 2.978380496438671e-107 7.658891303937335e-117 3.6546176838210183e-131 2.1139182642470324e-90 1.0087788088507032e-108 2.7611919431481297e-109 1.6363725398351858e-192 2.3435196118672706e-196 2.575979798853485e-169 6.369711083823259e-118 7.281391596571804e-158 1.8589581463619592e-171 0.0 7.250648097267135e-198 3.1620806110359834e-211 0.0 1.6638575861609496e-230 1.8936311043245982e-211 3.1735697119696886e-231 0.0 0.0 2.742640050933602e-254 0.0 2.1499201084432146e-249
0.015 949.2851067965171 0.7554952805870406 1.860425330913213e-56 4.4181742140489496e-54 6.896532813189508e-12 9.572580549543208e-14 2.2279038872902732e-17 1.555786336780577e-08 0.019264624197247816 0.17817834136809207 2.0661692770780043e-10 1.7578211188999978e-56 7.398735326508557e-13 2.4229973006509886e-29 6.253527928510611e-31 4.2056156081064746e-50 0.047061738075407165 5.645314167140945e-48 4.784379988922116e-79 8.62987599927549e-76 1.9069011981743518e-87 1.2111780017573223e-75 3.750356120809378e-58 3.4014057107936396e-67 1.5248683833117021e-102 6.152376059059939e-112 8.292968206965526e-126 8.64709157992144e-87 4.407448345266802e-104 1.2451900629010454e-104 1.514434025354615e-184 4.454288314266164e-188 3.276546481197816e-162 4.54158065777977e-113 1.8658272830916663e-151 2.3725642938775235e-164 0.0 6.68454653339403e-190 9.215879184360554e-203 4.2517938353283617e-252 6.211734219052812e-221 8.825587139120545e-203 9.814669557774349e-222 0.0 0.0 1.8531045950927857e-243 0.0 6.674792680002041e-239
0.016 988.5981521626817 0.7547282802990265 4.7202861980717164e-54 9.316282032859511e-52 2.436604610343648e-11 3.5931066468780436e-13 1.3213704715936952e-16 3.5914711104089574e-08 0.02054892219089122 0.17452357387953057 4.1055093486467653e-10 5.468599860262057e-54 3.314029038126961e-12 4.4717929181562645e-28 1.0221858845808203e-29 4.890024345798489e-48 0.05019918727725016 4.0416611597305585e-46 9.500778110944672e-76 9.327818287140346e-73 5.493580124047505e-84 2.566792726575115e-72 1.1003477886569e-55 2.50853307489845e-64 2.995643835311894e-98 1.8287571270943386e-107 6.361189208301792e-121 1.7049915200866343e-83 7.507149858782137e-100 2.1833040144875224e-100 2.790713453719644e-177 1.5769356753145729e-180 9.85427911641514e-156 1.212504192390944e-108 1.3079117649980516e-145 7.177029648741566e-158 0.0 1.2315125572468883e-182 4.848960326282056e-195 4.6661566494305856e-242 3.334682617544806e-212 7.111992134451773e-195 4.443086194110609e-213 0.0 0.0 1.3873585155463432e-233 0.0 2.4675276731978098e-229
0.017 1027.516094337553 0.7539612800125364 7.513580286489364e-52 1.2521535165686021e-49 7.725222237862644e-11 1.2092618799016016e-12 6.751461763406873e-16 7.722768700278723e-08 0.021833209037930384 0.1708687963940883 7.687430299868795e-10 1.047489477075847e-51 1.3086340375593365e-11 6.458930222964106e-27 1.3234948798857467e-28 3.819989877242895e-46 0.053336636467466295 2.0299449668958948e-44 9.987171812319988e-73 5.631585213422243e-70 8.143668265037278e-81 2.8544456334228173e-69 2.0033323194689306e-53 1.0644067940163241e-61 2.572986371353875e-94 2.3032775880398345e-103 1.912222247989114e-116 1.79012983661405e-80 5.6679697565841395e-96 1.6929889820830486e-96 1.2759511203129866e-170 1.3076118062744372e-173 8.5304858930838e-150 1.3858268505030783e-104 2.9927536854355603e-140 6.261498614453074e-152 0.0 5.646671542271711e-176 5.816038114509203e-188 7.440551040761113e-233 3.3529913969222764e-204 1.2586844160154982e-187 3.8260376444715325e-205 1.324920156267941e-258 6.82359065340264e-259 1.553312333908674e-224 0.0 1.4516434896374125e-220
0.018000000000000002 1066.0677914317155 0.7531942797254537 7.966324769510236e-50 1.1365980131044957e-47 2.2285286164964483e-10 3.700138740318823e-12 3.0289282666392786e-15 1.5609215519574026e-07 0.023117475916344752 0.16721400100535722 1.3667494639749076e-09 1.3147775670120819e-49 4.6298934491347e-11 7.534537491613806e-26 1.3986440344859292e-27 2.1099165544128907e-44 0.05647408562108458 7.486119552293492e-43 6.030798966357739e-70 2.0467697007407457e-67 6.765639989514049e-78 1.80960080219987e-66 2.4062883975189097e-51 2.789675432889583e-59 1.0745269347159348e-90 1.3724957931994345e-99 2.540722799090849e-112 1.0852691672321957e-77 2.1059128926433486e-92 6.447286009102852e-93 1.7313948945432091e-164 3.060365977615731e-167 2.4944091400070038e-144 7.561813401447222e-101 2.5811187680434012e-135 1.8484097089812376e-146 0.0 7.703983978283016e-170 1.9228307428957643e-181 2.2086176226228534e-224 7.830576068579602e-197 5.94410844644792e-181 7.756878353585964e-198 1.0323789222407192e-249 4.085885519958511e-250 3.3198616948846616e-216 0.0 1.7209809737404095e-212
0.019 1104.2663825131847 0.7524272794476152 5.905781514331094e-48 7.30204919889878e-46 5.915239871042926e-10 1.0410294685775611e-11 1.2117155805488256e-14 2.98731397264242e-07 0.024401708881126905 0.1635591752044987 2.321368069887508e-09 1.1373847980973801e-47 1.4870146926071234e-10 7.281918945486469e-25 1.2360102791743173e-26 8.588088584353164e-43 0.059611534663346205 2.1033663004797604e-41 2.2352058872104163e-67 4.7581016824698554e-65 3.375735030856978e-75 6.994161432876972e-64 2.0038956188727257e-49 4.7835220954811567e-57 2.378087181476357e-87 4.231248252708698e-96 1.6448645502248292e-108 4.0567914482260414e-75 4.190885014900662e-89 1.3127322260787287e-89 8.06207544550636e-159 2.3514895690331653e-161 2.8050094242304212e-139 2.1518041240693852e-97 9.427801145575084e-131 2.1015156793447365e-141 1.2060170230807953e-253 3.614808423353198e-164 2.0437466578740835e-175 1.4918333220622655e-216 5.056775919054721e-190 8.77081245147627e-175 4.401092757501911e-191 1.7127983036181868e-241 5.329018904936306e-242 1.6507785535169106e-208 2.1985762338517714e-257 4.978755635718269e-205
