y Tmean Tstd SMDmean SMDstd Vmean Vstd
0.03725 375.9632429 0.220260783 117.4028 0.673776915 48.69810571 0.638464379
0.0625 375.9584286 0.218519275 117.2768857 0.661501399 48.69030429 0.637038172
0.137 378.6069 0.405568213 106.5401357 2.612765718 48.15203143 0.618262563
0.16225 379.2988571 0.487621524 103.6998429 2.971999277 47.99984 0.623887653
0.23675 391.5205143 1.352425195 75.29299714 2.758191745 45.93798571 0.622902108
0.262 397.2483857 1.987157771 63.51684429 2.679872829 44.99252286 0.634362649
0.3365 397.2483857 1.987157771 46.29783857 4.887702772 44.99252286 0.634362649
0.36175 397.2483857 1.987157771 56.35401857 8.493571367 44.99252286 0.634362649
0.43625 397.2483857 1.987157771 78.32895571 23.56119753 44.99252286 0.634362649
0.4615 397.2483857 1.987157771 67.58764571 17.3694472 44.99252286 0.634362649
0.536 397.2483857 1.987157771 16.69083357 5.045829452 44.99252286 0.634362649
0.56125 397.2483857 1.987157771 0.836464329 0.214964144 44.99252286 0.634362649
